name,domain,basis_type,basis_detail,source_url,tenure_start,tenure_end,in_corpus_window,public_salience,notes
Mandy Cohen,Public Health,office,CDC Director,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Vivek Murthy,Public Health,office,US Surgeon General,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Robert Califf,Public Health,office,FDA Commissioner,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Soumya Swaminathan,Public Health,office,WHO Chief Scientist,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Michael J. Ryan,Public Health,office,WHO Health Emergencies Programme Director,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Chris Whitty,Public Health,office,UK Chief Medical Officer,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Patrick Vallance,Public Health,office,UK Govt Chief Scientific Adviser,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Jonathan Van-Tam,Public Health,office,UK Deputy Chief Medical Officer,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Theresa Tam,Public Health,office,Canada Chief Public Health Officer,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Howard Njoo,Public Health,office,Canada Deputy Chief Public Health Officer,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Brendan Murphy,Public Health,office,Australia Chief Medical Officer,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Paul Kelly,Public Health,office,Australia Chief Medical Officer,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Ashley Bloomfield,Public Health,office,NZ Director-General of Health,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Caroline McElnay,Public Health,office,NZ Director of Public Health,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Gregor Smith,Public Health,office,Scotland Chief Medical Officer,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Frank Atherton,Public Health,office,Wales Chief Medical Officer,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Jerome Adams,Public Health,office,US Surgeon General,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Tom Frieden,Public Health,office,CDC Director,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Michael Baker,Public Health,academic/citation_elite,"NZ epidemiologist, University of Otago, prominent COVID advisor",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Bette Liu,Public Health,academic/citation_elite,"Australian epidemiologist, UNSW",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Jim Skea,Climate,office,IPCC Chair,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Valérie Masson-Delmotte,Climate,office,IPCC WG1 Co-Chair,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Hoesung Lee,Climate,office,IPCC Chair (former),,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Hans-Otto Pörtner,Climate,office,IPCC WG2 Co-Chair,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Gavin Schmidt,Climate,office,NASA GISS Director,,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Michael E. Mann,Climate,citation_elite,"Climate researcher, IPCC-adjacent or high-citation -- OpenAlex verification needed",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Katharine Hayhoe,Climate,citation_elite,"Climate researcher, IPCC-adjacent or high-citation -- OpenAlex verification needed",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Stefan Rahmstorf,Climate,citation_elite,"Climate researcher, IPCC-adjacent or high-citation -- OpenAlex verification needed",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Corinne Le Quéré,Climate,citation_elite,"Climate researcher, IPCC-adjacent or high-citation -- OpenAlex verification needed",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Friederike Otto,Climate,citation_elite,"Climate researcher, IPCC-adjacent or high-citation -- OpenAlex verification needed",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Zeke Hausfather,Climate,citation_elite,"Climate researcher, IPCC-adjacent or high-citation -- OpenAlex verification needed",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Bill Hare,Climate,citation_elite,"Climate researcher, IPCC-adjacent or high-citation -- OpenAlex verification needed",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
Mark Z. Jacobson,Climate,citation_elite,"Climate researcher, IPCC-adjacent or high-citation -- OpenAlex verification needed",,,,Y,," | UNVERIFIED: no source_url/tenure yet, seed pool only"
