name,domain,basis_type,basis_detail,source_url,tenure_start,tenure_end,in_corpus_window,notes
Richard Besser,Public Health,office,CDC Director,https://en.wikipedia.org/wiki/Centers_for_Disease_Control_and_Prevention,2009-01-22,2009-06-07,Y,acting
Anne Schuchat,Public Health,office,CDC Director,https://en.wikipedia.org/wiki/Centers_for_Disease_Control_and_Prevention,2017-01-20,2017-07-06,Y,"acting, 1st stint"
Brenda Fitzgerald,Public Health,office,CDC Director,https://en.wikipedia.org/wiki/Centers_for_Disease_Control_and_Prevention,2017-07-07,2018-01-31,Y,
Anne Schuchat,Public Health,office,CDC Director,https://en.wikipedia.org/wiki/Centers_for_Disease_Control_and_Prevention,2018-02-01,2018-03-26,Y,"acting, 2nd stint"
Robert R. Redfield,Public Health,office,CDC Director,https://en.wikipedia.org/wiki/Centers_for_Disease_Control_and_Prevention,2018-03-26,2021-01-20,Y,NOTE: entity_final_review.csv has an unresolved AMBIGUOUS_NAME collision with a historical anthropologist also named Robert Redfield (1897-1958) -- disambiguate by context before using in regex
Nirav D. Shah,Public Health,office,CDC Director,https://en.wikipedia.org/wiki/Centers_for_Disease_Control_and_Prevention,2023-07-01,2023-07-10,Y,"acting, brief"
Susan Monarez,Public Health,office,CDC Director,https://en.wikipedia.org/wiki/Centers_for_Disease_Control_and_Prevention,2025-01-23,2025-03-24,Y,"acting, 1st stint"
Susan Monarez,Public Health,office,CDC Director,https://en.wikipedia.org/wiki/Centers_for_Disease_Control_and_Prevention,2025-07-31,2025-08-27,Y,confirmed then fired ~4 weeks later
Jim O'Neill,Public Health,office,CDC Director,https://en.wikipedia.org/wiki/Centers_for_Disease_Control_and_Prevention,2025-08-28,2026-02-13,Y,acting
Joshua M. Sharfstein,Public Health,office,FDA Commissioner,https://en.wikipedia.org/wiki/Commissioner_of_Food_and_Drugs,2009-03-30,2009-05-21,Y,acting
Margaret Hamburg,Public Health,office,FDA Commissioner,https://en.wikipedia.org/wiki/Commissioner_of_Food_and_Drugs,2009-05-22,2015-04-01,Y,
Stephen Ostroff,Public Health,office,FDA Commissioner,https://en.wikipedia.org/wiki/Commissioner_of_Food_and_Drugs,2015-04-01,2016-02-22,Y,"acting, 1st stint"
Stephen Ostroff,Public Health,office,FDA Commissioner,https://en.wikipedia.org/wiki/Commissioner_of_Food_and_Drugs,2017-01-20,2017-05-11,Y,"acting, 2nd stint"
Norman Sharpless,Public Health,office,FDA Commissioner,https://en.wikipedia.org/wiki/Commissioner_of_Food_and_Drugs,2019-04-05,2019-11-01,Y,acting
Brett Giroir,Public Health,office,FDA Commissioner,https://en.wikipedia.org/wiki/Commissioner_of_Food_and_Drugs,2019-11-06,2019-12-17,Y,acting
Stephen Hahn,Public Health,office,FDA Commissioner,https://en.wikipedia.org/wiki/Commissioner_of_Food_and_Drugs,2019-12-17,2021-01-20,Y,
Sara Brenner,Public Health,office,FDA Commissioner,https://en.wikipedia.org/wiki/Commissioner_of_Food_and_Drugs,2025-01-24,2025-04-01,Y,acting
Steven K. Galson,Public Health,office,US Surgeon General,https://en.wikipedia.org/wiki/Surgeon_General_of_the_United_States,2007-10-01,2009-10-01,Y,acting
Regina Benjamin,Public Health,office,US Surgeon General,https://en.wikipedia.org/wiki/Surgeon_General_of_the_United_States,2009-11-03,2013-07-16,Y,
Boris Lushniak,Public Health,office,US Surgeon General,https://en.wikipedia.org/wiki/Surgeon_General_of_the_United_States,2013-07-17,2014-12-18,Y,acting
Vivek Murthy,Public Health,office,US Surgeon General,https://en.wikipedia.org/wiki/Surgeon_General_of_the_United_States,2015-04-22,2017-04-21,Y,1st term
Jerome Adams,Public Health,office,US Surgeon General,https://en.wikipedia.org/wiki/Surgeon_General_of_the_United_States,2017-09-05,2021-01-20,Y,
Vivek Murthy,Public Health,office,US Surgeon General,https://en.wikipedia.org/wiki/Surgeon_General_of_the_United_States,2021-03-24,2025-01-20,Y,2nd term
