row_idx,true,pred,margin,true_label,pred_label
8,1,2,0.0,hostile,other
17,1,2,0.0999999999999999,hostile,hostile
20,0,2,0.3,hostile,endorsement
25,1,0,0.25,other,hostile
27,1,0,0.3,hostile,endorsement
29,1,2,0.0999999999999999,other,endorsement
30,1,2,0.25,other,other
36,0,1,0.0,hostile,other
40,1,2,0.1666666666666666,endorsement,other
41,0,1,0.1666666666666666,endorsement,hostile
43,0,2,0.1666666666666666,hostile,other
46,0,2,0.25,hostile,hostile
48,1,0,0.1666666666666666,endorsement,hostile
52,1,2,0.25,endorsement,endorsement
58,1,2,0.0999999999999999,endorsement,endorsement
62,0,2,0.0999999999999999,hostile,hostile
63,1,2,0.3,hostile,hostile
65,1,2,0.3,endorsement,endorsement
70,0,1,0.0,endorsement,hostile
81,0,1,0.3,endorsement,endorsement
96,0,1,0.3,endorsement,hostile
97,1,0,0.3,hostile,hostile
99,1,0,0.0999999999999999,hostile,endorsement
102,0,1,0.25,other,endorsement
109,0,1,0.3,endorsement,hostile
110,1,0,0.0999999999999999,endorsement,endorsement
114,1,0,0.0,endorsement,other
122,0,2,0.3,endorsement,endorsement
123,0,1,0.3,endorsement,endorsement
