row_idx,frontier_score
4,0.0
10,0.5
0,0.0
13,0.5
12,0.5
9,-1.0
8,0.0
6,-1.0
11,0.0
3,0.5
2,0.0
14,0.5
7,-0.8
5,0.5
1,-1.0
16,0.5
18,0.5
21,0.0
15,0.5
22,0.0
17,0.0
19,1.0
23,0.0
28,0.5
20,-0.5
27,-0.5
25,0.5
24,1.0
26,0.5
29,-0.5
30,0.0
42,-0.5
36,-1.0
41,0.0
34,0.0
33,-1.0
31,0.5
39,-0.5
38,-1.0
37,0.5
43,-1.0
48,0.5
40,0.0
35,-1.0
52,0.0
50,0.0
49,0.0
45,-1.0
44,-1.0
32,-1.0
46,0.0
51,1.0
53,-0.5
57,-0.8
55,-1.0
58,0.5
59,-1.0
47,-0.5
60,0.5
62,0.5
54,-1.0
67,-0.5
56,0.0
65,-0.5
66,0.0
64,0.0
63,0.5
61,-1.0
68,-1.0
69,1.0
74,0.5
73,-1.0
70,-0.5
72,0.5
75,-1.0
71,-0.5
77,0.5
81,-1.0
84,0.0
78,-1.0
80,0.5
83,-1.0
76,-1.0
85,0.5
79,-1.0
86,-0.5
91,-1.0
89,-1.0
88,0.0
90,-0.8
82,-1.0
93,-0.5
87,0.0
99,0.5
95,-1.0
92,-1.0
94,0.0
96,0.0
101,0.0
97,-0.5
98,-0.5
102,-0.5
100,1.0
106,0.5
104,-1.0
105,-1.0
103,0.0
109,-0.5
110,0.5
108,0.5
107,-1.0
112,-0.5
113,-1.0
114,0.8
111,0.0
118,-1.0
120,0.5
115,0.5
116,0.5
119,0.5
122,0.0
121,-0.5
117,-1.0
127,-1.0
125,-0.5
123,-1.0
129,0.0
128,-1.0
124,0.5
135,0.5
126,0.0
133,0.5
132,0.0
134,-0.5
131,-0.5
130,0.5
