name,bare_count,full_count,ratio
Robert W. Malone,8656,63,137.3968253968254
Milton William Cooper,18962,200,94.81
Francis Collins,3151,221,14.2579185520362
William Rodriguez,1628,170,9.576470588235294
Joseph Mercola,1623,171,9.491228070175438
Larry Summers,2612,328,7.963414634146342
Dick Gregory,1506,239,6.301255230125523
James Fetzer,813,134,6.067164179104478
Sidney Gottlieb,863,160,5.39375
Pamela Geller,494,114,4.333333333333333
Rudy Giuliani,8946,2653,3.372031662269129
Tila Tequila,954,286,3.335664335664336
Michael Yeadon,1532,489,3.132924335378323
Helena Blavatsky,1388,453,3.06401766004415
William Binney,1591,539,2.9517625231910944
Ben Bernanke,882,309,2.854368932038835
Mike Cernovich,1000,364,2.7472527472527473
Andrew Wakefield,2522,935,2.697326203208556
Joe Arpaio,854,323,2.6439628482972135
Max Blumenthal,1479,577,2.563258232235702
Scott Gottlieb,863,366,2.3579234972677594
Stephanie Seneff,406,176,2.3068181818181817
Richard Dawkins,1204,525,2.2933333333333334
Michael Ruppert,1185,547,2.16636197440585
Alan Greenspan,836,414,2.0193236714975846
Matt Taibbi,1348,677,1.9911373707533235
Peter Duesberg,450,230,1.9565217391304348
Wolfgang Halbig,1383,731,1.8919288645690835
Michael Hastings,4213,2241,1.8799643016510486
Webster Tarpley,968,520,1.8615384615384616
Dinesh D'Souza,507,287,1.7665505226480835
Nick Fuentes,2776,1593,1.7426239799121155
Judy Mikovits,754,448,1.6830357142857142
Tulsi Gabbard,7164,4289,1.670319421776638
Stanley Plotkin,252,154,1.6363636363636365
Steve Pieczenik,700,430,1.627906976744186
Alex Berenson,475,292,1.6267123287671232
Graham Hancock,6515,4072,1.599950884086444
Ann Coulter,854,542,1.5756457564575646
Steve Kirsch,1098,702,1.564102564102564
Daniel Ellsberg,314,201,1.5621890547263682
Bart Sibrel,598,393,1.5216284987277353
Celerino Castillo,881,584,1.5085616438356164
Robert Schoch,417,280,1.4892857142857143
Project Veritas,11750,7972,1.4739086803813346
Sharyl Attkisson,484,331,1.4622356495468278
Luc Montagnier,1406,976,1.4405737704918034
Cynthia McKinney,945,662,1.4274924471299093
Paul Stamets,446,331,1.3474320241691844
George De Mohrenschildt,177,138,1.2826086956521738
F. William Engdahl,391,306,1.2777777777777777
Austin Steinbart,801,631,1.2694136291600633
Philip Giraldi,346,273,1.2673992673992673
Sibel Edmonds,1050,863,1.216685979142526
Mae Brussell,301,249,1.2088353413654618
Danny Casolaro,489,408,1.1985294117647058
Daniel Estulin,160,138,1.1594202898550725
Del Bigtree,730,640,1.140625
Lynn Margulis,209,187,1.1176470588235294
Dane Wigington,477,436,1.0940366972477065
